country,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Burundi,108,  2 309,  2 360,  2 406,  2 449,  2 492,  2 537,  2 585,  2 636,  2 689,  2 743,  2 798,  2 852,  2 907,  2 964,  3 026,  3 094,  3 170,  3 253,  3 337,  3 414,  3 479,  3 530,  3 570,  3 605,  3 646,  3 701,  3 771,  3 854,  3 949,  4 051,  4 157,  4 267,  4 380,  4 498,  4 621,  4 751,  4 887,  5 027,  5 169,  5 307,  5 439,  5 565,  5 686,  5 798,  5 899,  5 987,  6 060,  6 122,  6 186,  6 267,  6 379,  6 526,  6 704,  6 909,  7 132,  7 365,  7 608,  7 862,  8 126,  8 398,  8 676,  8 958,  9 246,  9 540,  9 844,  10 160,  10 488,  10 827,  11 175,  11 531,  11 891
Comoros,174,   159,   163,   167,   170,   173,   176,   179,   182,   185,   188,   191,   194,   197,   200,   204,   207,   211,   216,   221,   225,   230,   235,   239,   244,   250,   257,   266,   276,   287,   297,   308,   318,   327,   336,   345,   355,   366,   377,   388,   400,   412,   424,   436,   449,   462,   475,   489,   502,   515,   529,   542,   556,   569,   583,   597,   612,   626,   642,   657,   673,   690,   707,   724,   742,   759,   777,   796,   814,   832,   851,   870
Djibouti,262,   62,   63,   65,   66,   68,   70,   71,   74,   76,   80,   84,   88,   94,   101,   108,   115,   123,   131,   140,   150,   160,   169,   179,   191,   205,   224,   249,   277,   308,   336,   359,   375,   385,   394,   406,   426,   454,   490,   529,   564,   590,   607,   615,   618,   622,   630,   644,   661,   680,   700,   718,   733,   747,   760,   772,   783,   795,   805,   816,   828,   840,   854,   868,   883,   899,   914,   929,   944,   959,   974,   988
Eritrea,232,   822,   835,   849,   865,   882,   900,   919,   939,   961,   983,  1 008,  1 033,  1 060,  1 089,  1 118,  1 148,  1 179,  1 210,  1 243,  1 276,  1 311,  1 347,  1 385,  1 424,  1 464,  1 505,  1 548,  1 592,  1 637,  1 684,  1 733,  1 785,  1 837,  1 891,  1 946,  2 004,  2 065,  2 127,  2 186,  2 231,  2 259,  2 266,  2 258,  2 239,  2 218,  2 204,  2 196,  2 195,  2 206,  2 237,  2 292,  2 375,  2 481,  2 601,  2 720,  2 827,  2 918,  2 997,  3 063,  3 120,  3 170,  3 214,  3 250,  3 281,  3 311,  3 343,  3 377,  3 413,  3 453,  3 497,  3 546
Ethiopia,231,  18 128,  18 467,  18 820,  19 184,  19 560,  19 947,  20 348,  20 764,  21 201,  21 662,  22 151,  22 671,  23 221,  23 798,  24 397,  25 014,  25 641,  26 280,  26 944,  27 653,  28 415,  29 249,  30 141,  31 037,  31 861,  32 567,  33 128,  33 577,  33 993,  34 488,  35 142,  35 985,  36 995,  38 143,  39 374,  40 652,  41 966,  43 329,  44 757,  46 272,  47 888,  49 610,  51 424,  53 296,  55 181,  57 048,  58 884,  60 697,  62 508,  64 343,  66 225,  68 159,  70 142,  72 171,  74 240,  76 346,  78 489,  80 674,  82 916,  85 234,  87 640,  90 140,  92 727,  95 386,  98 094,  100 835,  103 603,  106 400,  109 224,  112 079,  114 964
Kenya,404,  6 077,  6 242,  6 416,  6 598,  6 789,  6 988,  7 195,  7 412,  7 638,  7 874,  8 120,  8 378,  8 647,  8 929,  9 223,  9 530,  9 851,  10 187,  10 540,  10 911,  11 301,  11 713,  12 146,  12 601,  13 077,  13 576,  14 096,  14 639,  15 205,  15 798,  16 417,  17 064,  17 736,  18 432,  19 146,  19 877,  20 623,  21 382,  22 154,  22 935,  23 725,  24 522,  25 326,  26 136,  26 951,  27 768,  28 589,  29 416,  30 250,  31 099,  31 965,  32 849,  33 752,  34 679,  35 635,  36 625,  37 649,  38 706,  39 792,  40 902,  42 031,  43 178,  44 343,  45 520,  46 700,  47 878,  49 052,  50 221,  51 393,  52 574,  53 771
Madagascar,450,  4 084,  4 168,  4 257,  4 349,  4 444,  4 544,  4 647,  4 754,  4 865,  4 980,  5 099,  5 224,  5 353,  5 486,  5 625,  5 769,  5 919,  6 074,  6 234,  6 402,  6 576,  6 758,  6 947,  7 143,  7 346,  7 556,  7 773,  7 998,  8 230,  8 470,  8 717,  8 971,  9 234,  9 504,  9 781,  10 063,  10 352,  10 648,  10 952,  11 269,  11 599,  11 943,  12 301,  12 675,  13 067,  13 475,  13 903,  14 348,  14 809,  15 283,  15 767,  16 261,  16 765,  17 279,  17 803,  18 337,  18 880,  19 434,  19 996,  20 569,  21 152,  21 744,  22 347,  22 961,  23 590,  24 234,  24 894,  25 571,  26 262,  26 969,  27 691
Malawi,454,  2 954,  3 012,  3 072,  3 136,  3 202,  3 271,  3 342,  3 417,  3 495,  3 576,  3 660,  3 748,  3 839,  3 934,  4 032,  4 134,  4 240,  4 350,  4 464,  4 582,  4 704,  4 829,  4 959,  5 093,  5 235,  5 385,  5 546,  5 718,  5 897,  6 075,  6 250,  6 412,  6 566,  6 738,  6 965,  7 268,  7 666,  8 141,  8 637,  9 076,  9 405,  9 600,  9 686,  9 710,  9 746,  9 844,  10 023,  10 265,  10 552,  10 854,  11 149,  11 432,  11 714,  12 000,  12 302,  12 626,  12 974,  13 342,  13 728,  14 128,  14 540,  14 962,  15 396,  15 839,  16 290,  16 745,  17 205,  17 670,  18 143,  18 629,  19 130
Mauritius,480,   493,   506,   521,   537,   554,   571,   588,   605,   623,   641,   660,   679,   698,   717,   736,   753,   770,   785,   799,   813,   826,   840,   852,   865,   878,   892,   907,   922,   938,   953,   966,   978,   989,   999,  1 008,  1 016,  1 023,  1 030,  1 037,  1 046,  1 056,  1 068,  1 083,  1 099,  1 114,  1 129,  1 142,  1 154,  1 165,  1 176,  1 185,  1 194,  1 202,  1 209,  1 216,  1 222,  1 228,  1 234,  1 239,  1 244,  1 248,  1 251,  1 253,  1 255,  1 257,  1 259,  1 262,  1 264,  1 267,  1 270,  1 272
Mayotte,175,   15,   16,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   27,   28,   29,   31,   32,   33,   34,   36,   37,   39,   40,   42,   44,   45,   47,   49,   51,   53,   55,   58,   61,   64,   68,   72,   76,   80,   85,   90,   95,   100,   106,   112,   117,   123,   129,   134,   140,   145,   150,   156,   161,   167,   172,   178,   184,   190,   196,   202,   209,   215,   221,   227,   234,   240,   246,   253,   260,   266,   273
Mozambique,508,  5 959,  6 059,  6 165,  6 275,  6 390,  6 508,  6 632,  6 760,  6 894,  7 036,  7 185,  7 342,  7 507,  7 679,  7 857,  8 039,  8 226,  8 418,  8 614,  8 816,  9 023,  9 233,  9 446,  9 669,  9 907,  10 165,  10 444,  10 739,  11 041,  11 341,  11 630,  11 913,  12 190,  12 440,  12 636,  12 764,  12 809,  12 786,  12 758,  12 806,  12 987,  13 328,  13 806,  14 371,  14 948,  15 483,  15 960,  16 397,  16 814,  17 244,  17 712,  18 222,  18 764,  19 331,  19 911,  20 494,  21 080,  21 673,  22 277,  22 895,  23 532,  24 187,  24 863,  25 561,  26 286,  27 042,  27 830,  28 649,  29 496,  30 366,  31 255
RŽunion,638,   248,   259,   268,   277,   284,   292,   300,   308,   317,   326,   336,   345,   355,   366,   378,   391,   405,   421,   437,   451,   462,   470,   475,   479,   482,   485,   488,   492,   497,   503,   509,   517,   527,   537,   548,   559,   569,   579,   589,   599,   611,   622,   635,   648,   661,   674,   686,   699,   712,   724,   737,   749,   760,   771,   782,   792,   801,   809,   816,   824,   831,   837,   844,   851,   857,   863,   870,   876,   883,   889,   895
Rwanda,646,  2 186,  2 251,  2 314,  2 380,  2 450,  2 527,  2 610,  2 696,  2 782,  2 863,  2 936,  2 998,  3 053,  3 105,  3 164,  3 236,  3 322,  3 421,  3 530,  3 643,  3 757,  3 871,  3 987,  4 106,  4 232,  4 365,  4 506,  4 655,  4 813,  4 979,  5 153,  5 329,  5 505,  5 691,  5 903,  6 147,  6 444,  6 780,  7 088,  7 277,  7 289,  7 084,  6 702,  6 264,  5 936,  5 836,  6 013,  6 420,  6 963,  7 501,  7 934,  8 231,  8 427,  8 557,  8 681,  8 840,  9 043,  9 274,  9 525,  9 783,  10 039,  10 293,  10 550,  10 812,  11 084,  11 369,  11 669,  11 981,  12 302,  12 627,  12 952
Seychelles,690,   36,   37,   37,   38,   39,   39,   39,   40,   40,   41,   42,   42,   43,   45,   46,   47,   48,   49,   50,   51,   52,   54,   55,   57,   58,   60,   61,   62,   64,   65,   66,   67,   68,   69,   69,   70,   70,   70,   70,   70,   71,   71,   73,   74,   75,   77,   78,   78,   79,   80,   81,   82,   84,   86,   87,   89,   90,   90,   90,   91,   91,   92,   93,   93,   94,   95,   96,   96,   97,   98,   98
Somalia,706,  2 264,  2 308,  2 352,  2 397,  2 444,  2 492,  2 541,  2 592,  2 645,  2 700,  2 756,  2 814,  2 874,  2 936,  3 001,  3 068,  3 144,  3 228,  3 313,  3 387,  3 445,  3 472,  3 480,  3 513,  3 633,  3 880,  4 279,  4 802,  5 375,  5 893,  6 281,  6 511,  6 608,  6 619,  6 615,  6 649,  6 737,  6 862,  7 005,  7 133,  7 225,  7 274,  7 295,  7 316,  7 373,  7 492,  7 683,  7 936,  8 235,  8 554,  8 872,  9 187,  9 501,  9 815,  10 130,  10 447,  10 764,  11 080,  11 397,  11 718,  12 044,  12 376,  12 716,  13 064,  13 424,  13 797,  14 186,  14 589,  15 008,  15 443,  15 893
South Sudan,728,  2 482,  2 502,  2 525,  2 553,  2 585,  2 620,  2 658,  2 700,  2 745,  2 792,  2 843,  2 896,  2 951,  3 009,  3 070,  3 133,  3 199,  3 268,  3 340,  3 416,  3 494,  3 576,  3 661,  3 751,  3 844,  3 942,  4 042,  4 145,  4 253,  4 372,  4 503,  4 646,  4 799,  4 953,  5 096,  5 221,  5 328,  5 420,  5 485,  5 512,  5 493,  5 420,  5 305,  5 186,  5 111,  5 118,  5 222,  5 412,  5 662,  5 934,  6 199,  6 448,  6 688,  6 936,  7 213,  7 536,  7 907,  8 315,  8 737,  9 142,  9 508,  9 831,  10 114,  10 355,  10 555,  10 716,  10 833,  10 911,  10 976,  11 062,  11 194
Uganda,800,  5 158,  5 308,  5 453,  5 596,  5 741,  5 889,  6 043,  6 206,  6 379,  6 566,  6 767,  6 984,  7 216,  7 462,  7 719,  7 986,  8 263,  8 550,  8 841,  9 128,  9 406,  9 672,  9 930,  10 186,  10 453,  10 737,  11 043,  11 369,  11 713,  12 071,  12 442,  12 825,  13 222,  13 639,  14 083,  14 559,  15 070,  15 613,  16 180,  16 763,  17 354,  17 954,  18 562,  19 176,  19 794,  20 413,  21 033,  21 655,  22 291,  22 952,  23 650,  24 389,  25 167,  25 981,  26 821,  27 685,  28 571,  29 486,  30 432,  31 411,  32 428,  33 477,  34 559,  35 695,  36 912,  38 225,  39 649,  41 167,  42 729,  44 270,  45 741
United Republic of Tanzania,834,  7 650,  7 845,  8 051,  8 267,  8 494,  8 730,  8 975,  9 230,  9 494,  9 768,  10 052,  10 347,  10 652,  10 968,  11 296,  11 635,  11 985,  12 348,  12 726,  13 121,  13 535,  13 972,  14 428,  14 902,  15 389,  15 885,  16 390,  16 905,  17 433,  17 976,  18 538,  19 121,  19 723,  20 345,  20 982,  21 634,  22 296,  22 971,  23 671,  24 412,  25 204,  26 057,  26 961,  27 887,  28 793,  29 649,  30 445,  31 193,  31 924,  32 682,  33 499,  34 386,  35 335,  36 338,  37 380,  38 450,  39 549,  40 681,  41 854,  43 074,  44 347,  45 674,  47 053,  48 483,  49 961,  51 483,  53 049,  54 660,  56 313,  58 005,  59 734
Zambia,894,  2 310,  2 369,  2 431,  2 498,  2 570,  2 645,  2 724,  2 806,  2 892,  2 980,  3 071,  3 164,  3 261,  3 360,  3 463,  3 570,  3 682,  3 798,  3 919,  4 046,  4 179,  4 319,  4 466,  4 620,  4 779,  4 943,  5 113,  5 288,  5 468,  5 656,  5 852,  6 055,  6 266,  6 482,  6 702,  6 923,  7 147,  7 373,  7 598,  7 820,  8 037,  8 247,  8 451,  8 656,  8 870,  9 097,  9 340,  9 598,  9 866,  10 141,  10 416,  10 692,  10 972,  11 257,  11 551,  11 856,  12 174,  12 503,  12 849,  13 215,  13 606,  14 023,  14 465,  14 927,  15 400,  15 879,  16 363,  16 854,  17 352,  17 861,  18 384
Zimbabwe,716,  2 747,  2 832,  2 922,  3 016,  3 113,  3 213,  3 317,  3 425,  3 537,  3 654,  3 777,  3 905,  4 039,  4 179,  4 323,  4 471,  4 623,  4 780,  4 942,  5 111,  5 289,  5 477,  5 674,  5 878,  6 085,  6 294,  6 503,  6 713,  6 930,  7 160,  7 409,  7 676,  7 958,  8 255,  8 562,  8 877,  9 200,  9 527,  9 849,  10 154,  10 432,  10 681,  10 901,  11 093,  11 262,  11 411,  11 541,  11 653,  11 747,  11 823,  11 881,  11 924,  11 954,  11 982,  12 020,  12 077,  12 155,  12 256,  12 380,  12 527,  12 698,  12 894,  13 115,  13 350,  13 587,  13 815,  14 030,  14 237,  14 439,  14 645,  14 863
Angola,24,  4 548,  4 617,  4 713,  4 823,  4 936,  5 043,  5 141,  5 228,  5 307,  5 381,  5 455,  5 531,  5 609,  5 679,  5 735,  5 771,  5 781,  5 774,  5 772,  5 803,  5 890,  6 041,  6 249,  6 497,  6 761,  7 024,  7 280,  7 534,  7 791,  8 058,  8 341,  8 640,  8 953,  9 278,  9 615,  9 962,  10 320,  10 689,  11 068,  11 455,  11 848,  12 249,  12 657,  13 075,  13 504,  13 945,  14 401,  14 872,  15 360,  15 867,  16 395,  16 946,  17 519,  18 121,  18 758,  19 434,  20 150,  20 905,  21 696,  22 514,  23 356,  24 221,  25 108,  26 016,  26 942,  27 884,  28 842,  29 817,  30 810,  31 825,  32 866
Cameroon,120,  4 307,  4 384,  4 462,  4 542,  4 623,  4 707,  4 793,  4 883,  4 976,  5 074,  5 177,  5 285,  5 399,  5 518,  5 643,  5 774,  5 910,  6 052,  6 201,  6 357,  6 520,  6 690,  6 867,  7 053,  7 247,  7 451,  7 664,  7 888,  8 121,  8 366,  8 621,  8 889,  9 167,  9 456,  9 758,  10 071,  10 395,  10 731,  11 075,  11 426,  11 780,  12 138,  12 499,  12 864,  13 231,  13 600,  13 971,  14 344,  14 724,  15 113,  15 514,  15 929,  16 358,  16 801,  17 259,  17 733,  18 224,  18 730,  19 253,  19 790,  20 341,  20 906,  21 485,  22 077,  22 682,  23 298,  23 927,  24 566,  25 216,  25 876,  26 546
Central African Republic,140,  1 327,  1 342,  1 356,  1 371,  1 385,  1 401,  1 418,  1 437,  1 457,  1 479,  1 502,  1 526,  1 552,  1 579,  1 609,  1 640,  1 673,  1 708,  1 744,  1 779,  1 811,  1 841,  1 868,  1 895,  1 924,  1 958,  1 997,  2 040,  2 088,  2 141,  2 199,  2 264,  2 335,  2 408,  2 478,  2 542,  2 598,  2 647,  2 694,  2 746,  2 807,  2 879,  2 959,  3 046,  3 135,  3 223,  3 308,  3 392,  3 475,  3 558,  3 640,  3 722,  3 802,  3 881,  3 960,  4 038,  4 118,  4 198,  4 273,  4 338,  4 387,  4 419,  4 436,  4 448,  4 464,  4 493,  4 538,  4 596,  4 666,  4 745,  4 830
Chad,148,  2 502,  2 544,  2 589,  2 636,  2 685,  2 735,  2 786,  2 838,  2 891,  2 945,  3 002,  3 060,  3 121,  3 184,  3 247,  3 310,  3 372,  3 435,  3 499,  3 568,  3 644,  3 726,  3 815,  3 908,  4 000,  4 089,  4 173,  4 255,  4 337,  4 423,  4 514,  4 613,  4 718,  4 832,  4 958,  5 095,  5 247,  5 413,  5 590,  5 774,  5 963,  6 157,  6 357,  6 564,  6 781,  7 010,  7 251,  7 503,  7 770,  8 054,  8 356,  8 678,  9 019,  9 374,  9 735,  10 097,  10 457,  10 818,  11 184,  11 560,  11 952,  12 361,  12 785,  13 220,  13 664,  14 111,  14 562,  15 017,  15 478,  15 947,  16 426
Congo,178,   827,   842,   858,   875,   893,   911,   930,   951,   972,   995,  1 018,  1 043,  1 069,  1 097,  1 125,  1 155,  1 187,  1 220,  1 254,  1 290,  1 327,  1 366,  1 407,  1 449,  1 492,  1 537,  1 582,  1 629,  1 677,  1 727,  1 778,  1 831,  1 885,  1 940,  1 997,  2 054,  2 112,  2 171,  2 231,  2 293,  2 357,  2 422,  2 490,  2 560,  2 632,  2 708,  2 786,  2 867,  2 952,  3 038,  3 127,  3 218,  3 310,  3 407,  3 510,  3 623,  3 745,  3 876,  4 011,  4 145,  4 274,  4 395,  4 510,  4 623,  4 737,  4 856,  4 981,  5 111,  5 244,  5 381,  5 518
Democratic Republic of the Congo,180,  12 184,  12 429,  12 681,  12 944,  13 223,  13 518,  13 830,  14 161,  14 509,  14 872,  15 248,  15 638,  16 041,  16 462,  16 904,  17 370,  17 862,  18 379,  18 914,  19 460,  20 011,  20 564,  21 121,  21 690,  22 282,  22 904,  23 560,  24 249,  24 956,  25 664,  26 359,  27 040,  27 717,  28 404,  29 120,  29 881,  30 684,  31 529,  32 444,  33 465,  34 612,  35 908,  37 334,  38 816,  40 253,  41 576,  42 757,  43 827,  44 850,  45 920,  47 106,  48 429,  49 872,  51 426,  53 069,  54 786,  56 578,  58 454,  60 411,  62 449,  64 564,  66 755,  69 021,  71 359,  73 767,  76 245,  78 789,  81 399,  84 068,  86 791,  89 561
Equatorial Guinea,226,   226,   231,   234,   236,   238,   240,   242,   245,   248,   252,   255,   259,   262,   266,   271,   276,   284,   292,   299,   304,   304,   299,   290,   278,   266,   256,   248,   242,   240,   242,   250,   264,   285,   308,   332,   352,   369,   383,   395,   407,   419,   433,   447,   463,   479,   497,   516,   536,   558,   582,   606,   632,   658,   687,   717,   750,   784,   822,   861,   902,   944,   987,  1 031,  1 076,  1 122,  1 169,  1 215,  1 262,  1 309,  1 356,  1 403
Gabon,266,   473,   476,   479,   481,   482,   484,   487,   489,   493,   497,   501,   506,   511,   518,   525,   533,   543,   554,   566,   578,   589,   601,   612,   623,   635,   648,   661,   676,   692,   709,   726,   745,   764,   784,   805,   827,   850,   874,   898,   924,   949,   976,  1 003,  1 030,  1 057,  1 085,  1 113,  1 141,  1 170,  1 199,  1 228,  1 258,  1 288,  1 320,  1 354,  1 391,  1 430,  1 473,  1 519,  1 569,  1 624,  1 685,  1 750,  1 817,  1 884,  1 948,  2 008,  2 065,  2 119,  2 173,  2 226
